species,conservation_code,fire_response,primary_juvenile_period,page
Persoonia brevirhachis,P3,,,209
Persoonia cymbifolia,P3,,,209
Persoonia micranthera,R,OSS,,209
Persoonia scabra,P3,,,209
Petrophile biternata,P3,,,209
Petrophile longifolia,P3,,,209
Philotheca apiculata,P2,,,209
Philotheca cymbiformis,P2,,,209
Philotheca gardneri ssp. globosa,P1,,,209
Philotheca gardneri ssp. Ravensthorpe (G.F. Craig 6902),P1,,,209
Phlegmatospermum eremaeum,P2,,,209
Pilostyles collina,P4,,,209
Pimelea halophila,P2,,,209
Pimelea longiflora ssp. eyrei,P2,,,209
Pimelea neokyrea,P2,,,209
Pimelea pelinos,P1,,,209
Pimelea physodes,P4,OSS,,209
Pimelea rosea ssp. annelsii,P3,,,209
Pityrodia chrysocalyx,P3,,,209
Platysace sp. Stirling (J.M. Fox 88/262),P2,OSS,24,209
Pleurophascum occidentale,P4,MOSS,,209
Pomaderris grandis,P4,OSS,24,209
Prasophyllum paulineae,P1,GEO,,209
Prostanthera carrickiana,P4,OSS,,209
Prostanthera splendens,P1,,,209
Prostanthera verticillaris,P1,OSS,,209
Pterostylis sp. Ongerup (K.R. Newbey 4874),P4,GEO,,210
Ptilotus halophilus,P4,,,210
Pultenaea adunca,P3,,,210
Pultenaea brachyphylla,P2,,,210
Pultenaea calycina ssp. calycina,P3,,,210
Pultenaea calycina ssp. proxena,P4,OSS,,210
Pultenaea daena,P3,OSS,≤24,210
Pultenaea indira ssp. monstrosita,P3,,,210
Pultenaea indira ssp. pudoides,P2,,,210
Pultenaea pinifolia,P3,,,210
Pultenaea sp. Kundip (G.F. Craig 6008),P1,OSS?,,210
Pultenaea wudjariensis,P1,,,210
Reedia spathacea,R,RS,,210
Regelia cymbifolia,P4,,,210
Rhacocarpus rehmannianus var.. webbianus,R,Cryptogram,,210
Rhadinothamnus rudis ssp. linearis,P4,?OSS,36 to 48,210
Rhizanthella gardneri,R,GEO,,210
Rhodanthe pyrethrum,P3,OSS,12,210
Ricinocarpos pilifer,P2,OSS,,210
Ricinocarpos trichophorus,R,OSS,,210
Rinzia affinis,P4,,,210
Rinzia longifolia,P1,,,210
Rorippa cygnorum,P2,OSS?,24,210
Rorripa dictyosperma,P2,OSS,9,210
Rulingia apella,P1,,,210
Rumex drummondii,P4,,,210
Rumicastrum chamaecladum,P2,OSS,6,210
Sarcocornia globosa,P3,,,210
Scaevola archeriana,P1,,,210
Scaevola brookeana,P2,OSS/RS,24 to 36,210
Scaevola macrophylla,R,OSS,,210
Scaevola paludosa,P2,,,210
Scaevola sp. Waychinicup (E.M. Sandiford EMS 1336),P2,OSS,24,210
Scaevola tortuosa,P1,,,210
Schizaea rupestris,P2,Comb-fern,,210
Schoenus benthamii,P3,,,210
Schoenus natans,P4,,,210
Schoenus sp. Grassy (E. Gude & J. Harvey 250),P2,,,210
Schoenus sp. Grey Rhizome (K.L. Wilson 2922),P1,,,210
Schoenus sp. Mt Barker (G.J. Keighery 9679),P1,,,210
Schoenus sp. Stirling (G.J. Keighery 3427),P2,,,210
Selliera radicans,P2,,,210
Senecio gilbertii,P1,,,210
Siegfriedia darwinioides,P4,OSS,<48,210
Sowerbaea multicaulis,P4,GEO,,210
Sphaerolobium benetectum,P1,,,210
Sphaerolobium pubescens,P3,OSS,24 to 36,210
Sphaerolobium validum,P3,,,210
Sphagnum novozelandicum,P2,Moss,,211
Sphenotoma drummondii,R,OSS,>60,211
Sphenotoma parviflora,P3,OSS,24,211
Sphenotoma sp. Stirling Range (P.G. Wilson 4235),P3,OSS,≥48,211
Spyridium glaucum,P4,OSS,,211
Spyridium montanum,P2,OSS,>36,211
Spyridium mucronatum ssp. multiflorum,P2,,,211
Spyridium mucronatum ssp. recurvum,P3,,,211
Spyridium oligocephalum,P3,OSS,,211
Spyridium riparium,P2,OSS,36 to 48,211
Spyridium spadiceum,P2,,,211
Spyridium villosum,P2,OSS,60,211
Stachystemon vinosus,P4,OSS,,211
Stenanthemum bremerense,P3,,,211
Stenanthemum cristatum,P2,,,211
Stenanthemum pumilum ssp. pumilum,P3,OSS?,,211
Stenanthemum sublineare,P2,,,211
Stirlingia divaricatissima,P3,OSS,24,211
Stylidium articulatum,P2,OSS,,211
Stylidium bellum,P2,OSS,,211
Stylidium clavatum,P3,OSS,,211
Stylidium corymbosum var.. proliferum,P2,OSS,,211
Stylidium daphne,P2,OSS,,211
Stylidium diplectroglossum,P1,OSS,,211
Stylidium falcatum,P1,OSS,,211
Stylidium galioides,R,OSS,>48,211
Stylidium glandulosum,P3,OSS,,211
Stylidium gloeophyllum,P3,OSS,,211
Stylidium keigheryi,P2,OSS,36 +,211
Stylidium leeuwinense,P3,OSS,24,211
Stylidium lepidum,P3,OSS,,211
Stylidium plantagineum,P4,RS,,211
Stylidium pseudohirsutum,P3,OSS,,211
Stylidium pulviniforme,P3,OSS,,211
Stylidium rhipidium,P3,OSS,,211
Stylidium rosulatum,P2,OSS,,211
Stylidium sejunctum,P2,OSS,,211
Stylidium sp. Bluff Knoll (S. Barrett s.n. 8/11/1994),P2,OSS,,211
Stylidium tylosum,P1,OSS,,211
Stylidium verticillatum,P3,0SS,<36,211
Synaphea bifurcata,P3,,,211
Synaphea decumbens,P3,,,211
Synaphea hians,P3,,,211
Synaphea incurva,P1,,,211
Synaphea intricata,P3,OSS,48,211
Synaphea platyphylla,P3,,,211
Synaphea preissii,P3,,,211
Tecticornia entrichoma,P4,,,211
Tecticornia indefessa,P2,,,212
Tecticornia uniflora,P4,,,212
Tetratheca applanata,P1,,,212
Tetratheca pilata,P1,,,212
Tetratheca sp. Kent River (B.G. Hammersley 1791),P1,,,212
Thelymitra jacksonii,P3,GEO,12,212
Thelymitra psammophila,R,GEO,,212
Thomasia dielsii,P1,,,212
Thomasia discolor,P3,OSS,24,212
Thomasia multiflora,P1,,,212
Thomasia purpurea x solanacea,P1,,,212
Thomasia pygmaea,P3,,,212
Thomasia quercifolia,P2,,,212
Thomasia solanacea,P3,?RS,,212
Thomasia sp. Toolbrunup (G.J. Keighery 9895),P3,RS,,212
Thysanotus baueri,P1,GEO?,,212
Thysanotus brachiatus,P2,GEO?,,212
Thysanotus brachyantherus,P2,GEO?,,212
Thysanotus brevifolius,P2,GEO?,,212
Thysanotus gageoides,P3,GEO?,,212
Thysanotus glaucus,P4,GEO?,,212
Thysanotus isantherus,P3,GEO?,,212
Thysanotus parviflorus,P2,GEO?,,212
Thysanotus tenuis,P3,GEO?,,212
Torrendia grandis,P2,,,212
Torrendia inculta,P2,,,212
Trachymene anisocarpa var.. trichocarpa,P3,OSS,,212
Trachymene croniniana,P3,OSS,,212
Tribonanthes purpurea,R,GEO,,212
Tribonanthes sp. Lake Muir (G.J. Keighery & N. Gibson 2134),P3,,,212
Triglochin protuberans,P3,,,212
Triglochin stowardii,P3,,,212
Trithuria australis,P2,OSS,,212
Trymalium litorale,P1,OSS,,212
Trymalium myrtillus ssp. pungens,P1,,,212
Tyrbastes glaucescens,P4,OSS,,212
Usnea pulvinata,P1,Lichen,,212
Velleia exigua,P2,,,212
Velleia foliosa,P4,OSS,24±,212
Verticordia apecta,R,RS,,212
Verticordia brevifolia ssp. brevifolia,P3,RS,,212
Verticordia brevifolia ssp. stirlingensis,P2,RS,,212
Verticordia carinata,R,OSS,add,212
Verticordia coronata,P3,RS,,212
Verticordia crebra,R,OSS,29,212
Verticordia endlicheriana var.. angustifolia,P2,RS/OSS,36 to 48,212
Verticordia fimbrilepis ssp. australis,R,RS/OSS,,212
Verticordia harveyi,P4,OSS,>30,213
Verticordia helichrysantha,R,OSS,>48,213
Verticordia huegelii var.. tridens,P3,RS/OSS,,213
Verticordia integra,P4,OSS,,213
Verticordia longistylis,P3,OSS,,213
Verticordia pityrhops,R,OSS,84,213
Verticordia sieberi var.. pachyphylla,P1,OSS?,,213
Verticordia verticordina,P3,OSS,,213
Verticordia vicinella,P4,OSS?,,213
Villarsia calthifolia,R,OSS,24,213
Villarsia marchantii,P4,,,213
Villarsia submersa,P4,,,213
Warnstorfia fluitans,P1,MOSS,,213
Wurmbea sp. Cranbrook (A.R. Annels 3819),P2,,,213
Xanthoparmelia sargentii,P1,Lichen,,213
Xanthoparmelia subimitatrix,P1,Lichen,,213
Xanthorrhoea brevistyla,P4,,,213
Xanthosia collina,P3,OSS,,213
Xanthosia eichleri,P3,,,213
Xanthosia peduncularis,P3,,,213
Xyris exilis,R,OSS,48 to 60,213
