original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Beaufortia micrantha var.. micrantha,Beaufortia micrantha var. micrantha,Beaufortia micrantha var. micrantha,APC,variety,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Beaufortia orbifolia,Beaufortia orbifolia,Beaufortia orbifolia,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Beaufortia schaueri,Beaufortia schaueri,Beaufortia schaueri,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Beaufortia schaueri,Beaufortia schaueri,Beaufortia schaueri,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Beaufortia schaueri,Beaufortia schaueri,Beaufortia schaueri,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Beaufortia sparsa,Beaufortia sparsa,Beaufortia sparsa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bentleya diminuta,Bentleya diminuta,Bentleya diminuta,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bentleya spinescens,Bentleya spinescens,Bentleya spinescens,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Beyeria cockertonii,Beyeria cockertonii,Beyeria cockertonii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Beyeria sp. Ravensthorpe,Beyeria sp. Ravensthorpe,Beyeria sp. [Beyeria sp. Ravensthorpe; Barrett_2009],APC,genus,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-08),match_20a_genus_exact_accepted
Beyeria villosa,Beyeria villosa,Beyeria villosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Billardiera drummondii,Billardiera drummondii,Billardiera drummondii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bnaksia grandis,Bnaksia grandis,Banksia grandis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Boronia acanthoclada,Boronia acanthoclada,Boronia acanthoclada,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia anceps,Boronia anceps,Boronia anceps,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia baeckeacea ssp. patula,Boronia baeckeacea subsp. patula,Boronia baeckeacea subsp. patula,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia baeckeacea subsp.. patula,Boronia baeckeacea subsp. patula,Boronia baeckeacea subsp. patula,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia clavata,Boronia clavata,Boronia clavata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia coriacea,Boronia coriacea,Boronia coriacea,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia corynophylla,Boronia corynophylla,Boronia corynophylla,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia crassipes,Boronia crassipes,Boronia crassipes,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia crenulata var.. angustifolia,Boronia crenulata var. angustifolia,Boronia crenulata var. angustifolia,APC,variety,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia oxyantha var.. brevicalyx,Boronia oxyantha var. brevicalyx,Boronia oxyantha var. brevicalyx,APC,variety,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia penicillata,Boronia penicillata,Boronia penicillata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia revoluta,Boronia revoluta,Boronia revoluta,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia scabra ssp. attenuata,Boronia scabra subsp. attenuata,Boronia scabra subsp. attenuata,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Boronia sp..,Boronia sp.,Boronia sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known
Boronia virgata,Boronia virgata,Boronia virgata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Borya constricta,Borya constricta,Borya constricta,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Borya longioscapa,Borya longioscapa,Borya longiscapa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Borya longiscapa,Borya longiscapa,Borya longiscapa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Borya sp..,Borya sp.,Borya sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known
Borya spp,Borya sp.,Borya sp. [Barrett_2009],APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2023-09-08),match_01a_exact_genus_accepted_or_known
Bossiaea atrata,Bossiaea atrata,Bossiaea atrata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bossiaea concinna,Bossiaea concinna,Bossiaea concinna,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bossiaea dentata,Bossiaea dentata,Bossiaea dentata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bossiaea disticha,Bossiaea disticha,Bossiaea disticha,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bossiaea divaricata,Bossiaea divaricata,Bossiaea divaricata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bossiaea flexuosa,Bossiaea flexuosa,Bossiaea flexuosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bossiaea linophylla,Bossiaea linophylla,Bossiaea linophylla,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bossiaea oxyclada,Bossiaea oxyclada,Bossiaea oxyclada,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bossiaea simulata,Bossiaea simulata,Bossiaea simulata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bossiaea sp. Frankland (E.M. Sandiford EMS 896),Bossiaea sp. Frankland (E.M. Sandiford EMS 896),Bossiaea sp. Frankland (E.M.Sandiford EMS 896),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Bossiaea spinosa,Bossiaea spinosa,Bossiaea spinosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Bossiaea walkeri,Bossiaea walkeri,Bossiaea walkeri,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Brachyloma mogin,Brachyloma mogin,Brachyloma mogin,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Brachyloma nguba,Brachyloma nguba,Brachyloma nguba,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caesia viscida,Caesia viscida,Caesia viscida,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia abbreviata,Caladenia abbreviata,Caladenia abbreviata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia arrecta,Caladenia arrecta,Caladenia arrecta,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia bryceana ssp. bryceana,Caladenia bryceana subsp. bryceana,Caladenia bryceana subsp. bryceana,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia christineae,Caladenia christineae,Caladenia christineae,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia cristata,Caladenia cristata,Caladenia cristata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia discoidea,Caladenia discoidea,Caladenia discoidea,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia dorrienii,Caladenia dorrienii,Caladenia dorrienii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia erythrochila,Caladenia erythrochila,Caladenia erythrochila,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia evanescens,Caladenia evanescens,Caladenia evanescens,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia exstans,Caladenia exstans,Caladenia exstans,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia harringtoniae,Caladenia harringtoniae,Caladenia harringtoniae,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia integra,Caladenia integra,Caladenia integra,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia interjacens,Caladenia interjacens,Caladenia interjacens,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia longifimbriata,Caladenia longifimbriata,Caladenia longifimbriata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia luteola,Caladenia luteola,Caladenia luteola,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia plicata,Caladenia plicata,Caladenia plicata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia startiorum,Caladenia startiorum,Caladenia startiorum,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia voigtii,Caladenia voigtii,Caladenia voigtii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Caladenia x triangularis,Caladenia x triangularis,Caladenia x triangularis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calectasia cyanea,Calectasia cyanea,Calectasia cyanea,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calectasia keigheryi,Calectasia keigheryi,Calectasia keigheryi,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calectasia obtusa,Calectasia obtusa,Calectasia obtusa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Callistachys lanceolatum,Callistachys lanceolatum,Callistachys lanceolata,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Callistachys lanceolatum / sp South Coast,Callistachys lanceolatum / sp. South Coast,Callistachys sp. [Callistachys lanceolatum / sp. South Coast; Barrett_2009],APC,genus,Exact match to APC genus. Taxon name includes '/' (slash) indicating an uncertain species identification but an accepted genus and taxon can only be aligned to genus-rank (2023-09-08),match_04a_indecision_accepted_or_known_genus
Callistemon glaucum,Callistemon glaucum,Callistemon glaucum,APC,species,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Callistemon phoeniceus,Callistemon phoeniceus,Callistemon phoeniceus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Callitris canescens,Callitris canescens,Callitris canescens,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Callitris columellaris,Callitris columellaris,Callitris columellaris,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Callitris drummondii,Callitris drummondii,Callitris drummondii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Callitris glaucophylla,Callitris glaucophylla,Callitris glaucophylla,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Callitris preissii,Callitris preissii,Callitris preissii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Callitris roei,Callitris roei,Callitris roei,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calochilus sp. Hopetoun (H. Taylor s.n.),Calochilus sp. Hopetoun (H. Taylor s.n.),Calochilus sp. Hopetoun (H.Taylor s.n.),APC,species,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_07b_fuzzy_known_canonical_name
Calothamnus affinis,Calothamnus aff.,Calothamnus sp. [Calothamnus aff.; Barrett_2009],APC,genus,Exact match to APC genus. Taxon name includes 'affinis' or 'aff' indicating an unknown taxon that bears an affinity to a different taxon in the same genus and taxon can only be aligned to genus-rank (2023-09-08),match_09a_species_affinis_APC_exact
Calothamnus asper,Calothamnus asper,Calothamnus asper,APC,species,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Calothamnus crassus,Calothamnus crassus,Calothamnus crassus,APC,species,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Calothamnus crassus,Calothamnus crassus,Calothamnus crassus,APC,species,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Calothamnus gracilis,Calothamnus gracilis,Calothamnus gracilis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus huegelii,Calothamnus huegelii,Calothamnus huegelii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus macrocarpus,Calothamnus macrocarpus,Calothamnus macrocarpus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus microcarpus,Calothamnus microcarpus,Calothamnus microcarpus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus pinifolius,Calothamnus pinifolius,Calothamnus pinifolius,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus quadridus,Calothamnus quadridus,Calothamnus quadrifidus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Calothamnus quadrifidus,Calothamnus quadrifidus,Calothamnus quadrifidus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus quadrifidus,Calothamnus quadrifidus,Calothamnus quadrifidus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus quadrifidus,Calothamnus quadrifidus,Calothamnus quadrifidus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus robustus,Calothamnus robustus,Calothamnus robustus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus robustus,Calothamnus robustus,Calothamnus robustus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus sanguineus,Calothamnus sanguineus,Calothamnus sanguineus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus sp. Kundip,Calothamnus sp. Kundip,Calothamnus sp. Kundip (A.S.George & E.G.H.Oliver ASG17657),APC,species,Exact match of the first two words of the taxon name to an APC-known canonical name (2023-09-08),match_14b_binomial_exact_known
Calothamnus sp. Mt Lindesay,Calothamnus sp. Mt Lindesay,Calothamnus sp. Mt Lindesay (B.G.Hammersley 439),APC,species,Exact match of the first three words of the taxon name to an APC-known canonical name (2023-09-08),match_12b_trinomial_exact_known
Calothamnus sp. Mt Lindesay (B.G. Hammersley 439),Calothamnus sp. Mt Lindesay (B.G. Hammersley 439),Calothamnus sp. Mt Lindesay (B.G.Hammersley 439),APC,species,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_07b_fuzzy_known_canonical_name
Calothamnus tuberosus,Calothamnus tuberosus,Calothamnus tuberosus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus validus,Calothamnus validus,Calothamnus validus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus villosus,Calothamnus villosus,Calothamnus villosus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamnus villosus,Calothamnus villosus,Calothamnus villosus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calothamus gracilis,Calothamus gracilis,Calothamnus gracilis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Calycopeplus marginatus,Calycopeplus marginatus,Calycopeplus marginatus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calytrix nematoclada,Calytrix nematoclada,Calytrix nematoclada,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calytrix pulchella,Calytrix pulchella,Calytrix pulchella,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calytrix sp. Esperance,Calytrix sp. Esperance,Calytrix sp. Esperance (M.A.Burgman 4268A),APC,species,Exact match of the first two words of the taxon name to an APC-known canonical name (2023-09-08),match_14b_binomial_exact_known
Calytrix sp. Esperance,Calytrix sp. Esperance,Calytrix sp. Esperance (M.A.Burgman 4268A),APC,species,Exact match of the first two words of the taxon name to an APC-known canonical name (2023-09-08),match_14b_binomial_exact_known
Calytrix tetragona,Calytrix tetragona,Calytrix tetragona,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Calytrix tetragona,Calytrix tetragona,Calytrix tetragona,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Carex tereticaulis,Carex tereticaulis,Carex tereticaulis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Carpobrotus pulcher,Carpobrotus pulcher,Carpobrotus pulcher,APC,species,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Caustis sp. Boyanup (G.S. McCutcheon 1706),Caustis sp. Boyanup (G.S. McCutcheon 1706),Caustis sp. Boyanup (G.S.McCutcheon 1706),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Centrolepis caespitosa,Centrolepis caespitosa,Centrolepis caespitosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Centrolepis cephaloformis ssp. murrayi,Centrolepis cephaloformis subsp. murrayi,Centrolepis cephaloformis subsp. murrayi,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Cephalotus follicularis,Cephalotus follicularis,Cephalotus follicularis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chamaescilla gibsonii,Chamaescilla gibsonii,Chamaescilla gibsonii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chamaexeros longicaulis,Chamaexeros longicaulis,Chamaexeros longicaulis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chamaluacium floriferum floriferum,Chamaluacium floriferum floriferum,Chamelaucium floriferum subsp. floriferum MS,APC,subspecies,Fuzzy match of the first three words of the taxon name to an APC-known canonical name (2023-09-08),match_13b_trinomial_fuzzy_known
Chamelaucium aorocladus,Chamelaucium aorocladus,Chamelaucium aorocladus,APC,species,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Chamelaucium axillare,Chamelaucium axillare,Chamelaucium axillare,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chamelaucium axillare,Chamelaucium axillare,Chamelaucium axillare,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chamelaucium ciliatum,Chamelaucium ciliatum,Chamelaucium ciliatum,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chamelaucium floriferum ssp. diffusum,Chamelaucium floriferum subsp. diffusum,Chamelaucium floriferum subsp. diffusum,APC,subspecies,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Chamelaucium forrestii ssp. forrestii,Chamelaucium forrestii subsp. forrestii,Chamelaucium forrestii,APC,species,Exact match of the first two words of the taxon name to an APC-known canonical name (2023-09-08),match_14b_binomial_exact_known
Chamelaucium forrestii ssp. orarium,Chamelaucium forrestii subsp. orarium,Chamelaucium forrestii subsp. orarium,APC,subspecies,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Chamelaucium forrestii ssp. orarium,Chamelaucium forrestii subsp. orarium,Chamelaucium forrestii subsp. orarium,APC,subspecies,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Chamelaucium juniperinum,Chamelaucium juniperinum,Chamelaucium juniperinum,APC,species,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-08),match_06b_known_canonical_name
Choralaena quercifolia,Choralaena quercifolia,Chorilaena quercifolia,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Chordifex abortivus,Chordifex abortivus,Chordifex abortivus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chordifex gracilior,Chordifex gracilior,Chordifex gracilior,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chordifex isomorphus,Chordifex isomorphus,Chordifex isomorphus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chordifex jacksonii,Chordifex jacksonii,Chordifex jacksonii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chordifex leucoblepharus,Chordifex leucoblepharus,Chordifex leucoblepharus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chordifex ornatus,Chordifex ornatus,Chordifex ornatus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Choretrum glomeratum,Choretrum glomeratum,Choretrum glomeratum,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chorilaena quercifolia,Chorilaena quercifolia,Chorilaena quercifolia,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chorizema carinatum,Chorizema carinatum,Chorizema carinatum,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chorizema circinale,Chorizema circinale,Chorizema circinale,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Chorizema reticulatum,Chorizema reticulatum,Chorizema reticulatum,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
