original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Acacia drummondii ssp. elegans Porongurup variant (R.J. Cumming 938),Acacia drummondii subsp. elegans Porongurup variant (R.J. Cumming 938),Acacia drummondii subsp. elegans Porongurup variant (R.J.Cumming 938),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Acacia durabilis,Acacia durabilis,Acacia durabilis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia duriuscula,Acacia duriuscula,Acacia duriuscula,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia empelioclada,Acacia empelioclada,Acacia empelioclada,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia erinacea,Acacia erinacea,Acacia erinacea,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia errabunda,Acacia errabunda,Acacia errabunda,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia euthyphylla,Acacia euthyphylla,Acacia euthyphylla,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia fragilis,Acacia fragilis,Acacia fragilis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia glaucissima,Acacia glaucissima,Acacia glaucissima,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia glaucoptera,Acacia glaucoptera,Acacia glaucoptera,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia glaucoptera,Acacia glaucoptera,Acacia glaucoptera,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia gonophylla,Acacia gonophylla,Acacia gonophylla,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia gonophylla,Acacia gonophylla,Acacia gonophylla,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia grisea,Acacia grisea,Acacia grisea,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia heterochroa,Acacia heterochroa,Acacia heterochroa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia heterochroa ssp. robertii,Acacia heterochroa subsp. robertii,Acacia heterochroa subsp. robertii,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Acacia heteroclita spp heteroclita,Acacia heteroclita sp. heteroclita,Acacia heteroclita subsp. heteroclita,APC,subspecies,Exact match of the first three words of the taxon name to an APC-accepted canonical name (2023-09-08),match_12a_trinomial_exact_accepted
Acacia heteroclita ssp. valida,Acacia heteroclita subsp. valida,Acacia heteroclita subsp. valida,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
